title_id,title_name_kr,title_name_en,title_url,title_image,views,likes,rating,rating_count,tags,genre,art_author,content_format,synopsis,pitch,creator_id,created_at,updated_at,story_author,comps,tagline,description,completed,chapters,perfect_for,tone,audience,rights
0a802807-d8f9-49ec-aaac-5d15bffd18e3,,The Noble Pirate,,,5000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Seodamyeon,My Fair Lady,One of the top webcomic titles in Japan (on the Piccoma platform),"From the high seas to high society.
When the infamous pirate Rosetta gets poisoned to death, she wakes up in the body of noble lady Leah. Now, to avoid a second death, Rosetta must play the part of a noble and... get engaged?! But to whom? Could it be to the strange admiral who has suddenly come chasing after ""Rosetta""?",ONGOING,50,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
0c583fad-ddc7-4848-844a-77d76961a3cc,,May God Bless Your Demise,,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,fiorenti,A grounded take on Beauty & the Beast,A memory-loss mystery with a romantic twist.,"Angie enjoys an idyllic life of reading and embroidering on Cullinan Island. But everything changes when she's selected as the companion to Kylek, the enigmatic heir of House Blackwell. As their bond grows, extraordinary events unfold, unraveling Cullinan Island's long-kept secret.",ONGOING,29,DRAMA SERIES,MYSTERIOUS,ADULTS 18-34,MANTA/RIDI
0dfc59ee-75aa-4182-a114-b5468c010c2c,,Season of Change,,,1000000,,,,[],DRAMA,AJS,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,AJS,This is Us,An unconventional romance,"Trying new things is never easy.
Ohran Lim is an ex-boxer who never managed to go pro. Now, she spends her days working at the local convenience store, wondering where it all went wrong. But after she meets young couple Woon and Baram, she slowly begins to change her outlook on life. ""I need to find what makes me happy.""",COMPLETED,41,DRAMA SERIES,ROM-COM,ADULTS 18-34,MANTA/RIDI
0f037c14-a2dd-4bae-ad0e-a1c6dd313123,,Lady Devil,,,20000000,,,,[],ROMANCE,FUKI Choco,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,B. Cenci,Maleficent,YouTube Trailer,"""Devil, I don't want to marry him.""
In hopes to escape a forced marriage, Giovinetta makes a wish to the devil to save her, but what she doesn't know are the consequences of her actions. Read the steamy story of a girl who just wants to be with the one man she is forbidden to love.",ONGOING,135,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
10208bed-9a2c-4733-8bc9-5a06597b3624,,"My Master, My Prince",,,1000000,,,,[],LGBTQ+,Khbiyong,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Khbiyong,Call Me By Your Name,A rich/poor love story,"Fate entangles a prince and his butler.
Beta commoner Jooin has been in love with his childhood friend Licht for half an eternity, but their status separates them as the Alpha is sure to be married to an Omega instead. However, fate brings the two together once again - now as prince and his butler. Can love truly conquer all?",ONGOING,20,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
14e2ca4a-b941-44f6-a3e6-e5f236d081d8,,Finding Camellia,,,20000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Jin Soye,As You Like It,"YouTube Trailer #1
YouTube Trailer #2
Finding Camellia novel available on the Manta app","Her life was nothing but lies.
Camellia was just 12 when she was taken away from her mother in the slums and forced to live as the son of an aristocratic family. But under the layers of secrets and lies, she never forgets. She continues to struggle to be her true self again, to reclaim the life of Camellia.",ONGOING,80,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
15c19448-1456-4f7f-a32c-8bf6f5b178a8,,The Script,,,1000000,,,,[],ROMANCE,Nina,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"0netwozer0, Nina","Crouching Tiger, Hidden Dragon",Wuxia-infused romance fantasy,"Revenge 13 years in the making.
To reverse a curse put on her and her brother, Yeju has been searching for the shaman responsible for 13 long years. When the heir to the Tiger Clan, Heewu, sets Yeju up in order to steal her sword, the two realize that they have the same objective. But is this new man friend or foe?",ONGOING,73,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
15f56ccb-bf03-4087-a7bb-c22c4bbb6c64,,The Tale of the Frost Flower,,,1000000,,,,[],HISTORICAL,Nanlo,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Nanlo,A Knight's Tale,An imperial scandal and a shattered first love.,"Sabi is secretly in love with her childhood friend Yusu and wishes to marry him. But the day after her coming-of-age celebration, she finds herself embroiled in a scandalous rumor and suddenly engaged to the emperor's son. Will Sabi be able to clear her name and find her way back to her true love?",ONGOING,35,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
1708e882-6917-4e43-8721-280a13b10f90,,From Bread to Closets,,,1000000,,,,[],COMEDY,Raehyeon Kim,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Moonyeun Lee, Raehyeon Kim",Tidying Up with Marie Kondo,A fresh new take on the Odd Couple dynamic,"A minimalist meets a hoarder.
Jinsoo is a hoarder, Haeyoung a minimalist. But together, they make the perfect team! After meeting at a bakery as boss and employee, the two start visiting their customers' homes to help them organize their closets and rediscover themselves in the process.",COMPLETED,12,COMEDY SERIES,QUIRKY,ADULTS 18-34,MANTA/RIDI
1795bd99-b118-499d-b386-f05e42b3583d,,Sora's Eyes,,,1000000,,,,[],LGBTQ+,Summer,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Summer,The Grudge,"Contemporary supernatural horror, in which a young man must save the most important person to him from the Grudge of an ancient god","""Just stay alive, young master.""
Sora has descended from the mountains to guard the sickly Jungha. The two have a set of rules to guide them: One, Sora decides what is considered an emergency. Two, Jungha must listen to Sora in an emergency. Three, Jungha must not bully Sora. Will they be able to stick to them?",ONGOING,68,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
